artist_id,artist_name,genres
7egNqIGRldMzifHoh8pib6,Al Martino,"['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'vocal jazz']"
0DW7boyjvbaSP3OJ72sXgC,Al Stewart,"['album rock', 'art rock', 'folk', 'folk rock', 'mellow gold', 'progressive rock', 'singer-songwriter', 'soft rock', 'symphonic rock']"
2RwV62DIxFGEn8aWO3iaMM,Al Wilson,"['chicago soul', 'motown', 'northern soul']"
6rJqqRce0Kvo2dJUXoHleC,Alabama,"['contemporary country', 'country', 'country christmas', 'country road', 'country rock', 'outlaw country', 'southern rock', 'traditional country']"
16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,"['folk-pop', 'funk', 'garage rock', 'indie folk', 'indie pop', 'modern blues', 'modern rock', 'stomp and holler']"
4mxWe1mtYIYfP040G38yvS,Alan Jackson,"['contemporary country', 'country', 'country christmas', 'country road', 'traditional country']"
2m62cc253Xvd9qYQ8d2X3d,The Alan Parsons Project,"['album rock', 'art rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
6pOrc5h4n7xNrsiR9qkEZS,Alan Price Set,['british invasion']
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,['tropical house']
2CQdVOUWYfEbxhWTgQdUwm,Alana Davis,"['folk', 'folk christmas', 'folk-pop', 'lilith']"
6ogn9necmbUdCppmNnGOdi,Alanis Morissette,"['alternative rock', 'canadian pop', 'dance pop', 'folk-pop', 'lilith', 'new wave pop', 'pop rock']"
6IYnSXO40Bh7Zdqhf6rQoj,Alannah Myles,['new wave pop']
1Li0eIWeMeWcOOWpImcG9H,"Albert Hammond, Jr.","['dance-punk', 'garage rock', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'punk blues']"
5aygfDCEaX5KTZOxSCpT9o,Albert King,"['acoustic blues', 'blues', 'blues-rock', 'british blues', 'chicago blues', 'classic rock', 'country blues', 'delta blues', 'electric blues', 'harmonica blues', 'jazz blues', 'jazz christmas', 'louisiana blues', 'memphis blues', 'memphis soul', 'modern blues', 'soul', 'soul blues', 'soul christmas', 'swamp blues', 'texas blues', 'traditional blues']"
3jtTd1E9mBxYYU987s32Fm,Aldo Nova,"['album rock', 'canadian metal', 'glam metal', 'hard rock']"
5sUrlPAHlS9NEirDB8SEbF,Alejandro Sanz,"['cantautor', 'latin', 'latin arena pop', 'latin christmas', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop', 'tropical']"
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
4AVFqumd2ogHFlRbKIjp1t,Alesso,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house']"
2vGaSKEDFsVPBgcnGxqlBN,Alex Newell,"['indie poptimism', 'strut']"
047D9GgqEzyMoULd2oKr7G,Alexander O'Neal,"['classic funk rock', 'disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'soul christmas', 'urban contemporary']"
6nZiWg5ZB511S24WmB7TCV,Alexander Scriabin,"['classical', 'early modern classical']"
0BmLNz4nSLfoWYW1cYsElL,Alexandra Stan,"['dance pop', 'europop']"
6CsleyOZtyt16saX8WhzDx,Brother Ali,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'underground rap']"
0HDMwoCS316xhKCZlJPBnc,Sevn Alias,"['deep dutch hip hop', 'dutch hip hop']"
3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,"['album rock', 'classic rock', 'comic', 'glam metal', 'glam rock', 'hard rock', 'heavy christmas', 'metal', 'protopunk', 'rock']"
0aNCjE72yyrhKQB1qfPBpi,Alice Deejay,"['bubble trance', 'bubblegum dance', 'eurodance', 'europop', 'hip house']"
64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,"['album rock', 'alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
1UY4oIFpjCKe5qIhKDcloe,Alicia Bridges,['disco']
