artist_id,artist_name
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
19Xm04ZiVtOB6J2Ti5vXhL,Arianna Puello
2Lxa3SFNEW0alfRvtdXOul,Ariel Camacho y Los Plebes Del Rancho
0pKSzgzoe56pxrgtFaxOnt,"Joiner, Arkansas Jr. High School Band"
63zgw9LU9aqnuHnvHr3ZUZ,Arley Perez
0B6QEFtRnneEzb4iqjI0Nw,Arlo Guthrie
0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren
7pBt44qzGaaDTuMAB2I3o0,Arpeggio
5Va9LuEmaZxnbk1gMnjMD7,Arrested Development
2MMXs21RASEwAmU7gRheQ0,Arsenal Efectivo
6kEsKkXuE4olX7m3mNLZkS,Art Garfunkel
77zrvBORXcnTyysjjKRfBU,Art Of Noise
0j4pxInmdtF4bYQj0VVpbz,Arthur Alexander
5YzGCkGA6XEGKs2C9KRVKA,Arthur Baker
10TSIJnyUcowWhpjj59gHB,Arthur Conley
4UAjW7ABQfMm5F88xCtQln,Arthur Lyman
6yJZMmgqsTjH6ooVALu7oT,Arthur Prysock
0KlSW3j5fUEfej47FOrBMr,"Artists Of Then, Now & Forever"
5rkVyNGXEgeUqKkB5ccK83,Ashanti
1wgY8huggK60P5nvYrwcYT,Asher Roth
2EURsXo9qlt1aMWlviGCRi,Ashford & Simpson
4hqDqHtBlgxXpLXVYf7c8L,Ashlee Simpson
37BiX28I6pF104F92U1hDP,Ashley Monroe
2ddxtfC0oS8LoktXUHE7YL,Ashley Tisdale
43eAoOm70bzBUNs4JKP5nE,Ashton Shepherd
1bdytLV3FPjyhfrb6BhMej,Asia
5rX2c1zow6hCph8PnnU3kF,Astrud Gilberto
2sGlDQ2sedrgzVGMvnBgOG,Athenaeum
0WgyCbru4tXnMsbTmX4mFw,Atlanta Rhythm Section
2YdVmtVBpIrv0N6WiBzSqm,Atlantic Starr
1GAS0rb4L8VTPvizAx2O9J,Atmosphere
3I5oBScoCTzPsuNPYA64l7,Auburn
4xnMDfgEmXZEEDdITKcGuE,Audien
2ziB7fzrXBoh1HUPS6sVFn,Audioslave
19Fi1Rj7kk8kyiwxpXy3yM,August Alsina
61YE3whKiuRr83j1yOm5M7,Augustana
5mnS9jJdKQQcRSqFu5YPVe,Auli'i Cravalho
6f34Vi3DFJap7eJMDbpzEG,Aurra
04abdnqPQe2N4fjztDea6z,Austin Mahone
2koMWjvRRF0cOpJnjhdKx0,Autograph
5QbIc8sSpKLsI3xiYDXCFU,Man Automatic
0AunegKKH2ys98aLxq8G1A,Avant
0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold
1qto4hHid1P71emI6Fd8xi,Aventura
3tx8fyu3c4OBP5nejYtUOb,Average White Band
79OSA519ScnPY0MVDpu8ZV,Avery Storm
1vCWHaC5f2uS3yhpwWbIA6,Avicii
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne
6jn7W8NuX94FWZyeGlyCaJ,Axel Flovent
1DiAIO8Ei1lTYdtezTcTK2,Ayana
27mFvqQj8KpjmdKIqcw1mG,Ayo & Teo
4UGMQyNcbGHYg5CDMKkSw3,Az Yet
0gZHnsLe1aKqOFk91JgfKE,Conjunto Agua Azul
2LiWxiQzuD9nmWQ6NCA8Gd,B-Real
72eP0W3rIhkxd0NHGg4w4u,B*Witched
5xLSa7l4IV1gsQfhAMvl0U,B.B. King
36HvjE9pV91jEjO1qBRidS,B.G.
3NyO6lrjoe4s6Uk4ns9Tda,B.G. The Prince Of Rap
0uUNzXylqsZdmFDwdxaP1V,B.J. Thomas
67PmHOmt1tveILUtasiYAf,B.T. Express
5ndkK3dpZLKtBklKjxNQwT,B.o.B
51d3rUlLuMh7EW09aMe7yj,B2K
7y1GT7SdgGiFLWoktv2TSw,BBMak
07d5etnpjriczFBB8pxmRe,BJ The Chicago Kid
2P3cjUru4H3fhSXXNxE9kA,Blackstreet
6Lll1MPPak4m4vZKuJB264,BRONCHO
64MoFdq8ORI3V98AR5SPWL,BT
5q4AzEtCoYJyXjMMoEkSU5,Bachman-Turner Overdrive
3Nrfpe0tUJi4K4DXYWgMUX,BTS
25fqWEebq6PoiGQIHIrdtv,Baauer
5f7VJjfbwm532GiveGC0ZK,Lil Baby
12PSlydMSjEHzSCj9X5qv7,Baby Bash
15Y1yUEchPPl4w20CLvFyb,Baby Boy Da Prince
7fGPj0sGEcZACQTUVbz3NY,"Dave ""Baby"" Cortez"
3IEvQoAohcGX7CdrbtIle7,Baby Rasta & Gringo
29afta7TiMlvY1fkgaFJcH,Baby Washington
3aVoqlJOYx31lH1gibGDt3,Babyface
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys
1UxXd73KV3x4Hos5ZL7lKi,Bad Boy's Da Band
6OXILsPD4WNJ7XiGMAkCWa,Bad Boys Blue
4q3ewBCX7sLwd24euuV69X,Bad Bunny
5AEG63ajney2BoDXi0Vb84,Bad Company
5fhMbh4PVSLSODF2fhWwqt,Bad English
77IURH5NC56Jn09QHi76is,Bad Meets Evil
0YhUSm86okLWldQVwJkLlP,Bad Suns
4pJCawaKSZ40EnxN0YEYw3,Badfinger
2fgl3me4n9diODTrVfruF3,Balance And Composure
6czfQ8MjHVmvJKA4LAnviG,Baltimora
6NrzhmtXsc2j8lE5e1v9W0,Sonny Bama
3sc7iUG1Wwpwx7bHeZolgx,Bananarama
0RnvWQ8qWXI7oM3PAno7lB,Band of Gold
35S20clEkkSNUo23ViaslZ,Band Aid
6MDME20pz9RveH9rEXvrOM,Clean Bandit
5oSFZH3AgLRQxBi87McLjP,Bandit Gang Marco
4Kxlr1PRlDKEB0ekOCyHgX,BIGBANG
7FBDXY8U17aasVTH3rgxbS,Bankroll Fresh
0Z4CzYz9ieK8q9XiVMPkW5,The Bar-Kays
7xCMJBL2xqnA5EsK1zeNYZ,Barbara & The Browns
5cIS9VdHDj2fozLl19Gg2A,Barbara Acklin
3SQp3obrtdq8uxsZxFCBJu,Barbara Fairchild
6uJZLuhxKK0kNUcoGNIy9k,Barbara George
2UocIcNiHj5n4tj1CnBzRq,Barbara Lewis
2wQyX5625x6IGls8zLLHMB,Barbara Lynn
67BqBdApdbZ0onglFqRoTg,Barbara Mandrell
5PmZd7YOaUgQwhOja44fmZ,Barbara Mason
7jmTilWYlKOuavFfmQAcu6,Barbra Streisand
0dEvJpkqhrcn64d3oI8v79,Barenaked Ladies
3MKwHkhEjcvzva2rasZeWD,Barrett Strong
5mMuiFhh7faS7qxnTLRA6u,Barrington Levy
3alW3LYQS8K29z8C8NSLIX,Barry Manilow
3OmuR7XFXBig8yLeMSm9mU,Barry Mann
6xdkfNRMtBzeu7t4wyum2X,Barry McGuire
5JJxBX97vBHW7KMsBqIJre,Barry Ryan
3rfgbfpPSfXY40lzRK7Syt,Barry White
4sZw3BLoQ9SniX4mcoh80b,Roger Bart
0Vdv0pEg0SwdqoEbpP3MJ1,Bart Crow
4mITrNyXdPhy8phBHPgAHk,Basia
7EQ0qTo7fWT7DPxmxtSYEc,Bastille
3r9TXuXfOUxXjgYgAR0fP8,Bay City Rollers
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha
3WNUkxJcJeliFx9KXWXMgs,Bebe & Cece Winans
1o2NpYGqHiCq7FoiYdyd1x,Bea Miller
56ZTgzPBDge0OvCGgMO3OY,Beach House
3tKmZgJAXrog8SnYpzWSbe,"Dave Dee, Dozy, Beaky, Mick & Tich"
0tCtGc5vt29zFZp6KXzN50,Beanie Sigel
03r4iKL2g2442PT9n2UKsx,Beastie Boys
6C5gMdsVmZHJG6yJuC68sp,Beats International
4DQj1q0unpi9KF8jO1Wqks,The Beau Brummels
5n9jfCRA7AFY1JfYc5ZYK5,Becca Mancari
3vbKDsSS70ZX9D2OcvbZmS,Beck
4obzFoKoKRHIphyHzJ35G3,Becky G
1LZEQNv7sE11VDY3SdxQeN,Bee Gees
